year,num,subject,q,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,a,explanation
2023,11,ken,"主権に関する次のアからウまでの各記述について、ｂの見解がａの見解の根拠となっている場合には１を、そうでない場合には２を選びなさい。
ア．ａ．憲法は国会を国権の最高機関としているが、ここでの国権とは統治権を意味しており、国会は立法機関であるだけでなく、この意味での国権の発動全般を統括すべき地位にある。
ｂ．憲法が定める権力分立制の下では、立法権の行使などを通じ国会が中心的な役割を果たす一方、内閣には衆議院の解散を決定する権限が、また裁判所には法律の憲法適合性を判断する権限が認められるなど、相互の抑制・均衡が図られている。
イ．ａ．統治権のうち行政に関する部分は、憲法上国と地方とに配分され、内閣が行使する行政権と、地方公共団体が行政を執行する権能から構成される。
ｂ．近代主権国家では、統治権という意味での主権は不可分一体であり、地方公共団体の権能もかかる国家の統治権から伝来するものであって、国家の法律による承認ないし委任に依拠し、またその限度で認められる。
ウ．ａ．最高裁判所の裁判官の任命に関する国民の審査権は、主権者の権能の一内容である点において選挙権と同様の性質を有する。
ｂ．憲法は、主権が国民に存すると規定するとともに、最高裁判所に国家行為の憲法適合性を判断する権限を有する終審裁判所という重要な地位・権限を付与している。",,,,,,,,,,,221,"ア．aは国会の優位性、bは三権分立による抑制・均衡
イ．aは国と地方、bは国
ウ．aもbも裁判所を通じた国民主権"
2023,12,ken,"選挙制度に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．政党等から名簿登載者の除名届が提出されているにもかかわらず、選挙長ないし選挙会が当該除名の有効性を審査すべきものとすれば、政党等による組織内の自律的運営に属する事項について、その政党等の意思に反して行政権が介入することになる。こうしたことから、公職選挙法は、名簿届出政党等による名簿登載者の除名について、選挙長ないし選挙会の審査の対象を形式的な事項にとどめている。
イ．戸別訪問の禁止は、意見表明そのものの制約を目的とするものではなく、意見表明の手段方法のもたらす弊害を防止し、もって選挙の自由と公正を確保することを目的としている。こうしたことから、公職選挙法の戸別訪問禁止規定は、公正な選挙の実施に対する明白かつ現在の危険をもたらす戸別訪問のみを禁止する規定として限定して解釈される限りで合憲となる。
ウ．立候補の自由が選挙権の自由な行使と表裏の関係にある重要な基本的人権であることからすると、選挙制度を政党本位のものとするという国会の裁量にも限界がある。こうしたことから、立候補の自由に配慮して、公職選挙法上、衆議院議員選挙における重複立候補者が所属する政治団体については、一定数以上の国会議員を有することを要するといった限定は課されていない。",,,,,,,,,,,122,"ア．hanrei 57074
イ．hanrei 59257
ウ．一定数以上の国会議員を有することを要するといった限定が課されている"
2023,13,ken,"憲法第９条に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．憲法第９条第２項で否認されている交戦権の内容を、国家が交戦者として有する権利とする国際法上の用例に従って解するのでなく、国家として戦争を行う権利と広く解する見解に対しては、同条第１項の規定との重複が避けられないとの批判がある。
イ．判例は、憲法第９条第１項によっても我が国が主権国家として持つ固有の自衛権は何ら否定されたものでなく、同条第２項は自衛のための戦力の保持まで禁じたものではないから、我が国の平和と安全の維持を目的としたアメリカ合衆国軍隊の駐留は同条に違反しないとしている。
ウ．判例は、憲法前文に規定されている「平和のうちに生存する権利」はあらゆる基本的人権を支える基礎的な権利であるため、具体的訴訟においても、それ自体で独立して私法上の行為の効力を判断する基準になるとしている。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,4,"ア．正しい
イ．hanrei 55816
ウ．そのように述べている判例は存在しない"
2023,14,ken,"国会の立法手続に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．内閣総理大臣その他の国務大臣は、法律案について両議院から答弁又は説明のため出席を求められたときは、出席する義務がある一方、法律案について発言するためであっても、議院から求められない限り、自己が議席を有しない議院に出席することはできない。
イ．法律案は、衆議院が可決し、参議院がこれと異なった議決をした場合、衆議院が両議院の協議会を開くことを求めなくても、衆議院で出席議員の３分の２以上の多数で再び可決したときは、法律となる。
ウ．法律には、国務大臣全員が署名し、内閣総理大臣が連署することが必要であるが、これは、法律に対する執行責任を明示するために求められるにすぎず、それ自体は法律の成立要件ではない。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,6,"ア．joubun ken 63
イ．joubun ken 59
ウ．joubun ken 74"
2023,15,ken,"内閣に関する次のアからウまでの各記述について、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．衆議院において内閣不信任決議案が可決されたときは、１０日以内に衆議院が解散されない限り、内閣は総辞職をしなければならないが、参議院における問責決議には、かかる法的効力はない。
イ．内閣総理大臣は、国会議員でなければならないから、国会議員の当選の効力に関する訴訟の結果、自己の当選が無効となったときは、憲法第７０条の「内閣総理大臣が欠けたとき」に当たり、内閣は、総辞職をしなければならない。
ウ．衆議院議員総選挙又は参議院議員通常選挙の後に初めて国会が召集されたときは、憲法の規定により、内閣は、総辞職をしなければならない。",,,,,,,,,,,112,"ア．
イ．
ウ．"
2023,16,ken,"司法権の範囲ないし限界に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、正しいものには〇、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．裁判所がその固有の権限に基づいて審判することのできる対象は、裁判所法第３条にいう「法律上の争訟」、すなわち当事者間の具体的な権利義務ないし法律関係の存否に関する紛争であって、かつ、それが法令の適用により終局的に解決することができるものに限られる。したがって、具体的な権利義務ないし法律関係に関する紛争であっても、法令の適用による終局的解決に適しないものは裁判所の司法審査の対象になり得ない。
イ．特定の者の宗教活動上の地位の存否を審理、判断するにつき、宗教団体の教義ないし信仰の内容に立ち入って審理、判断することが必要不可欠である場合には、裁判所は、その者が宗教活動上の地位にあるか否かを審理、判断することができず、その結果、宗教活動上の地位に基づく宗教法人の代表役員の地位の存否についても審理、判断することができない。この場合には、宗教法人の代表役員の地位の存否の確認を求める訴えは、裁判所法第３条にいう「法律上の争訟」に当たらない。
ウ．大学の単位の授与（認定）という行為は、学生が履修した授業科目について合格したことを確認する教育上の措置であり、卒業の要件をなすものであるから、一般市民法秩序と直接の関係を有するものであることは明らかである。それゆえ、純然たる大学内部の問題とはいえず、大学の自主的、自律的な判断のみに委ねられるべきものではなく、裁判所の司法審査の対象となる。",１．ア〇 イ〇 ウ〇,２．ア〇 イ〇 ウ×,３．ア〇 イ× ウ〇,４．ア〇 イ× ウ×,５．ア× イ〇 ウ〇,６．ア× イ〇 ウ×,７．ア× イ× ウ〇,８．ア× イ× ウ×,,,2,"ア．
イ．
ウ．"
2023,17,ken,"違憲審査に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．警察予備隊違憲訴訟判決（最高裁判所昭和２７年１０月８日大法廷判決、民集６巻９号７８３頁）は、出訴等に関する手続を法律で定めれば、最高裁判所には法令等の合憲性を抽象的・一般的に審査・決定する権限を付与することもできるという考え方を否定するものではないと見る余地もある。
イ．判例によれば、関税法の没収規定に基づき、密輸しようとした第三者の所有物について没収の言渡しを受けた被告人が、当該規定が、第三者の財産について、第三者に何らの告知、弁解、防御の機会を与えることなく所有権を奪うものであるとし、第三者の権利を援用して違憲の主張をすることは、訴訟において他人の権利に干渉し救済を求めるものであるから許されない。
ウ．判例によれば、公職選挙法の規定において、一定の者につき選挙権を制限していることの憲法適合性については、当該者が自己の選挙権の侵害を理由にその救済を求めて提起する訴訟においてこれを争うことの可否はおくとしても、同法第２０４条の選挙無効訴訟において選挙人らが他者の選挙権の制限に係る当該規定の違憲を主張してこれを争うことは法律上予定されていない。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,3,"ア．
イ．
ウ．"
2023,18,ken,"財政に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．市町村が行う国民健康保険における保険料は、憲法第８４条に規定する租税には当たらないが、国民健康保険は強制加入とされ、保険料が強制徴収されるものであり、賦課徴収の強制の度合いにおいては租税に類似する性質を有するため、憲法第８４条の趣旨が及ぶ。
イ．暦年途中の租税法規の変更及びその暦年当初からの適用によって納税者の租税法規上の地位が変更され、課税関係における法的安定に影響が及び得る場合の憲法第８４条適合性については、変更の対象となる納税者の租税法規上の地位の性質、変更の程度及び変更により保護される公益の性質などの諸事情を総合的に勘案して判断すべきである。
ウ．長く課税されることがなかったパチンコ球遊器について、行政の内部命令である通達によって課税の物件たる遊戯具に該当するとして課税の対象とされたことは、通達の内容が法の正しい解釈に合致するものであっても、憲法第８４条に違反する。",,,,,,,,,,,112,"ア．
イ．
ウ．"
2023,19,ken,"地方自治に関する次のアからウまでの各記述について、最高裁判所の判例の趣旨に照らして、それぞれ正しい場合には１を、誤っている場合には２を選びなさい。
ア．憲法上、国会に広範な議院自律権が認められ、国会議員の発言について免責特権が保障されているが、地方議会についても、その機能を適切に果たさせるために、国会と同様の議会自治・議会自律の権能が認められることから、地方議会の議員の発言についても、免責特権が認められる。
イ．憲法第９３条第２項にいう「住民」とは、地方公共団体の区域内に住所を有する日本国民を意味するが、外国人のうち永住者等であってその居住する区域の地方公共団体と特段に緊密な関係を持つに至ったと認められるものについて、法律により、地方公共団体の長や議会の議員に対する選挙権を付与することは、憲法上禁止されていない。
ウ．地方公共団体が、地方自治の本旨に従って、財産を管理し、事務を処理し、及び行政を執行するためには、その財源を自ら調達する権能が必要であるから、地方自治の不可欠の要素として、国とは別途に課税権の主体となることが憲法上予定されており、租税の税目、課税客体、課税標準、税率等の事項について、法律で定められた具体的な準則に従う必要はない。",,,,,,,,,,,212,"ア．
イ．
ウ．"
2023,20,ken,"条約に関する次のアからウまでの各記述について、正しいものには○、誤っているものには×を付した場合の組合せを、後記１から８までの中から選びなさい。
ア．憲法と条約の関係につき、憲法優位説の立場からは、日本国が締結した条約を誠実に遵守することを必要とする旨規定する憲法第９８条第２項について、有効に成立した条約の国内法的効力を認め、その遵守を強調したものであると考えることになる。
イ．砂川事件判決（最高裁判所昭和３４年１２月１６日大法廷判決、刑集１３巻１３号３２２５頁）は、日本国とアメリカ合衆国との間の安全保障条約（いわゆる旧日米安全保障条約）につき、一見極めて明白に違憲無効であると認められない限りは裁判所の司法審査権の範囲外であるとしたが、同条約が高度の政治性を有することを理由としており、条約であることを理由にはしていないことを踏まえると、条約について違憲審査の対象となり得るとの見解を採ったものと理解することができる。
ウ．条約の締結には国会の承認が必要であるが、衆議院が承認の議決をし、参議院でこれと異なった議決をした場合には、衆議院で出席議員の３分の２以上の多数で再び承認の議決をしたときは、衆議院の議決が国会の議決となる。",１．ア○ イ○ ウ○,２．ア○ イ○ ウ×,３．ア○ イ× ウ○,４．ア○ イ× ウ×,５．ア× イ○ ウ○,６．ア× イ○ ウ×,７．ア× イ× ウ○,８．ア× イ× ウ×,,,2,"ア．
イ．
ウ．"
2023,1,min,"胎児に関する次のアからオまでの各記述のうち、判例の趣旨に照らし誤っているものを組み合わせたものは、後記１から５までのうちどれか。
ア．ＡがＢの母Ｃとの間で締結した、Ａの所有する甲土地をＢに無償で与える旨の第三者のためにする契約は、その成立の時にＢが胎児であったとしても、そのためにその効力を妨げられない。
イ．胎児の父が胎児を認知するには、胎児の母の承諾を得なければならない。
ウ．胎児を受贈者として死因贈与をすることができる。
エ．胎児が不法行為により損害を受けたときは、胎児の両親は、出生前に胎児を代理して加害者に対し損害賠償請求をすることができる。
オ．胎児の母は、認知の訴えを提起することができない。",１．ア エ,２．ア オ,３．イ ウ,４．イ オ,５．ウ エ,,,,,,5,
2023,2,min,"意思能力に関する次のアからオまでの各記述のうち、誤っているものを組み合わせたものは、後記１から５までのうちどれか。
ア．意思能力とは、自己の行為の責任を弁識する能力をいう。
イ．契約の当事者がその意思表示をした時に意思能力を有しなかったときは、その契約の無効を善意無過失の第三者にも対抗することができる。
ウ．契約の当事者がその意思表示をした時に意思能力を有しなかった場合において、その契約に基づく債務の履行として給付を受けたときは、現に利益を受けている限度において、返還の義務を負う。
エ．契約の申込者が申込みの通知を発した後に意思能力を有しない常況にある者となった場合において、その相手方が承諾の通知を発するまでにその事実が生じたことを知ったときは、その申込みは、その効力を有しない。
オ．婚姻の当事者が婚姻届を作成した時に意思能力を有しないことは、婚姻の取消しの原因となる。",１．ア イ,２．ア オ,３．イ ウ,４．ウ エ,５．エ オ,,,,,,2,
2023,3,min,"不在者の財産管理に関する次のアからオまでの各記述のうち、誤っているものを組み合わせたものは、後記１から５までのうちどれか。
ア．不在者とは、従来の住所又は居所を去り、その所在を知ることができない者をいう。
イ．不在者がその財産の管理人を置かなかったときは、利害関係人のみならず検察官も、家庭裁判所に対し、その財産の管理について必要な処分を命ずるよう請求することができる。
ウ．家庭裁判所は、不在者が置いた管理人に対し、不在者の財産の保存に必要と認める処分を命ずることができる。
エ．不在者が置いた管理人は、不在者の生存が明らかである場合であっても、家庭裁判所の許可を得ることにより、不在者が定めた権限を超える行為をすることができる。
オ．家庭裁判所が選任した不在者の財産の管理人は、相続人である不在者を代理してそれ以外の相続人との間で協議による遺産分割をするときは、家庭裁判所の許可を得なければならない。",１．ア イ,２．ア エ,３．イ ウ,４．ウ オ,５．エ オ,,,,,,2,
2023,4,min,"代理に関する次のアからオまでの各記述のうち、誤っているものを組み合わせたものは、後記１から５までのうちどれか。
ア．特定の法律行為をすることを委託された代理人がその行為をした場合において、本人が自ら知っていた事情について代理人が知らなかったことを主張することができないのは、代理人が本人の指図に従ってその行為をしたときに限られる。
イ．法定代理人は、やむを得ない事由により復代理人を選任したときは、本人に対してその選任及び監督についての責任のみを負う。
ウ．制限行為能力者が他の制限行為能力者の法定代理人としてした行為は、行為能力の制限を理由として取り消すことができる。
エ．Ａが、Ｂの代理人として、ＡＢ間の契約に基づくＢのＡに対する債務の履行をしたときは、その履行は、代理権を有しない者がした行為とみなされる。
オ．権限の定めのない代理人は、代理の目的である物又は権利の性質を変えない範囲内において、その利用又は改良を目的とする行為をする権限を有する。",１．ア ウ,２．ア エ,３．イ エ,４．イ オ,５．ウ オ,,,,,,2,
